            table_name             |           column_name            
 financial_categories              | dre_group
 financial_categories              | code
 ai_sector_agents                  | sector_id
 ai_sector_agents                  | name
 ai_sector_agents                  | display_name
 ai_sector_agents                  | description
 ai_sector_agents                  | avatar_url
 ai_sector_agents                  | model
 ai_sector_agents                  | greeting_message
 ai_sector_agents                  | personality
 ai_sector_agents                  | system_prompt
 hr_partners                       | full_name
 hr_partners                       | email
 hr_partners                       | phone
 hr_partners                       | cpf
 hr_partners                       | rg
 hr_partners                       | gender
 hr_partners                       | marital_status
 hr_partners                       | address
 hr_partners                       | city
 hr_partners                       | state
 hr_partners                       | zip_code
 hr_partners                       | department
 hr_partners                       | position
 hr_partners                       | status
 hr_partners                       | avatar_url
 hr_partners                       | emergency_contact_name
 hr_partners                       | emergency_contact_phone
 hr_partners                       | notes
 hr_partners                       | nationality
 hr_partners                       | profession
 hr_partners                       | pis_pasep
 hr_partners                       | bank_name
 hr_partners                       | bank_agency
 hr_partners                       | bank_account
 hr_partners                       | bank_pix_key
 hr_partners                       | marital_property_regime
 hr_partners                       | holding_cnpj
 hr_partners                       | partner_type
 hr_partners                       | social_contract_number
 client_instagram_snapshots        | username
 client_instagram_snapshots        | full_name
 client_instagram_snapshots        | biography
 client_instagram_snapshots        | profile_pic_url
 client_instagram_snapshots        | external_url
 client_instagram_snapshots        | category
 user_integrations                 | provider
 user_integrations                 | access_token
 user_integrations                 | refresh_token
 user_integrations                 | user_email
 meta_campaign_alerts              | ad_account_id
 meta_campaign_alerts              | campaign_id
 meta_campaign_alerts              | campaign_name
 meta_campaign_alerts              | date_preset
 youtube_videos                    | youtube_id
 youtube_videos                    | video_url
 youtube_videos                    | title
 youtube_videos                    | caption
 youtube_videos                    | thumbnail_url
 youtube_videos                    | video_type
 youtube_videos                    | ai_objective
 youtube_videos                    | category
 youtube_videos                    | notes
 marketing_copilot_conversations   | title
 nfse_issuances                    | source_type
 nfse_issuances                    | description
 nfse_issuances                    | item_lista_servico
 nfse_issuances                    | codigo_tributacao_municipio
 nfse_issuances                    | provider
 nfse_issuances                    | provider_request_id
 nfse_issuances                    | status
 nfse_issuances                    | rps_series
 nfse_issuances                    | rps_number
 nfse_issuances                    | nfse_number
 nfse_issuances                    | verification_code
 nfse_issuances                    | pdf_url
